,power_demand_kW
2005-06-13 06:00:00,-0.588361667
2005-06-13 07:00:00,-1.003520833
2005-06-13 08:00:00,-0.583781667
2005-06-13 09:00:00,-0.4451125
2005-06-13 10:00:00,-0.349410833
2005-06-13 11:00:00,-0.471073333
2005-06-13 12:00:00,-0.93848
2005-06-13 13:00:00,-1.324859167
2005-06-13 14:00:00,-0.750805
2005-06-13 15:00:00,-0.344015
2005-06-13 16:00:00,-0.5652025
2005-06-13 17:00:00,-0.6376025
2005-06-13 18:00:00,-0.662994167
2005-06-13 19:00:00,-0.917720833
2005-06-13 20:00:00,-0.781336667
2005-06-13 21:00:00,-0.595664167
2005-06-13 22:00:00,-0.515179167
2005-06-13 23:00:00,-0.414675
2005-06-14 00:00:00,-0.419434167
2005-06-14 01:00:00,-0.488565833
2005-06-14 02:00:00,-1.0037425
2005-06-14 03:00:00,-1.557224167
2005-06-14 04:00:00,-0.276875
2005-06-14 05:00:00,-0.5783675
2005-06-14 06:00:00,-1.360139167
2005-06-14 07:00:00,-0.7906125
2005-06-14 08:00:00,-0.7694425
2005-06-14 09:00:00,-0.373588333
2005-06-14 10:00:00,-0.4640175
2005-06-14 11:00:00,-0.6514275
2005-06-14 12:00:00,-0.3318575
2005-06-14 13:00:00,-0.473535
2005-06-14 14:00:00,-0.299264167
2005-06-14 15:00:00,-0.304265
2005-06-14 16:00:00,-0.654905
2005-06-14 17:00:00,-0.880700833
2005-06-14 18:00:00,-0.676123333
2005-06-14 19:00:00,-0.536645833
2005-06-14 20:00:00,-0.745145833
2005-06-14 21:00:00,-0.575854167
2005-06-14 22:00:00,-1.192333333
2005-06-14 23:00:00,-1.900270833
2005-06-15 00:00:00,-1.0790625
2005-06-15 01:00:00,-0.746416667
2005-06-15 02:00:00,-0.389416667
2005-06-15 03:00:00,-0.361708333
2005-06-15 04:00:00,-0.396479167
2005-06-15 05:00:00,-0.4943125
2005-06-15 06:00:00,-0.512416667
2005-06-15 07:00:00,-0.8391875
2005-06-15 08:00:00,-0.4140125
2005-06-15 09:00:00,-0.29905
2005-06-15 10:00:00,-0.337764167
2005-06-15 11:00:00,-0.737889167
2005-06-15 12:00:00,-0.8425625
2005-06-15 13:00:00,-0.879231667
2005-06-15 14:00:00,-1.038433333
2005-06-15 15:00:00,-0.682491667
2005-06-15 16:00:00,-0.648398333
2005-06-15 17:00:00,-0.843938333
2005-06-15 18:00:00,-0.551004167
2005-06-15 19:00:00,-0.6429575
2005-06-15 20:00:00,-0.65642
2005-06-15 21:00:00,-0.64638
2005-06-15 22:00:00,-0.532040833
2005-06-15 23:00:00,-0.53432
